iter	RMSE
0	77053.4911
1	75078.45734
2	73049.82738
3	71148.9885
4	69314.38701
5	67460.64716
6	65827.33702
7	64188.6425
8	62493.41672
9	60929.57761
10	59470.93928
11	58059.87366
12	56658.63508
13	55558.65119
14	54244.02364
15	53163.5351
16	51906.84133
17	50789.10671
18	49739.72472
19	48714.88209
20	47746.35924
21	46774.40399
22	45928.89973
23	45076.43598
24	44310.79814
25	43492.18577
26	42786.8829
27	42092.35816
28	41386.33394
29	40713.82598
30	40062.51404
31	39400.53357
32	38802.86051
33	38255.1175
34	37661.47156
35	37057.59993
36	36581.82661
37	36105.28471
38	35630.40551
39	35094.98164
40	34691.37608
41	34231.70868
42	33771.52125
43	33343.63277
44	32926.10813
45	32558.41601
46	32148.87757
47	31790.52604
48	31476.76792
49	31093.73555
50	30811.95876
51	30545.88424
52	30179.38847
53	29921.82762
54	29616.12692
55	29352.10757
56	29047.08758
57	28771.437
58	28491.32368
59	28281.55865
60	28056.29888
61	27841.22713
62	27647.67195
63	27407.64229
64	27224.99078
65	26993.96645
66	26775.75337
67	26603.10289
68	26385.31657
69	26179.68923
70	25997.147
71	25818.07682
72	25694.7987
73	25503.00409
74	25337.2989
75	25184.2157
76	25055.72912
77	24886.72812
78	24770.08897
79	24627.26316
80	24484.54029
81	24365.41917
82	24213.87648
83	24092.90637
84	23941.97009
85	23819.54744
86	23724.85662
87	23621.43433
88	23524.96884
89	23460.07315
90	23387.64152
91	23318.78705
92	23224.92672
93	23117.22499
94	22998.33734
95	22908.43713
96	22829.69352
97	22755.27728
98	22685.74659
99	22612.2935
100	22527.16741
101	22436.04951
102	22340.11474
103	22257.45159
104	22167.24404
105	22095.7212
106	22029.37435
107	21973.54413
108	21901.0676
109	21843.4131
110	21787.54109
111	21730.05363
112	21663.736
113	21595.31712
114	21524.6696
115	21448.89886
116	21404.78943
117	21360.01656
118	21306.19441
119	21259.83015
120	21199.38926
121	21137.90062
122	21092.83903
123	21051.97426
124	20993.38128
125	20953.12753
126	20910.81871
127	20871.12705
128	20825.46845
129	20799.69561
130	20760.70589
131	20723.25302
132	20676.75899
133	20645.30405
134	20590.02045
135	20526.91314
136	20484.87284
137	20443.02926
138	20394.52452
139	20346.83375
140	20279.64716
141	20241.61683
142	20185.23391
143	20133.96541
144	20097.37739
145	20042.38784
146	20004.88512
147	19948.54556
148	19913.42022
149	19883.8015
150	19849.80111
151	19815.24933
152	19796.06093
153	19757.15632
154	19711.78465
155	19645.98198
156	19611.78423
157	19580.71145
158	19551.94783
159	19509.62619
160	19474.15686
161	19424.6993
162	19381.16259
163	19341.93954
164	19311.23898
165	19277.91786
166	19230.54967
167	19202.55336
168	19169.46994
169	19132.57197
170	19103.1052
171	19071.13044
172	19037.06702
173	19013.17605
174	18975.15946
175	18945.76715
176	18917.14332
177	18899.31658
178	18874.73312
179	18850.43837
180	18811.91016
181	18773.17377
182	18747.39775
183	18723.87027
184	18681.33301
185	18664.84983
186	18645.49392
187	18619.84641
188	18599.88462
189	18572.18245
190	18544.64301
191	18523.67909
192	18499.25163
193	18469.67958
194	18448.84752
195	18418.50447
196	18357.46758
197	18310.50997
198	18257.13516
199	18231.15461
200	18200.482
201	18177.56781
202	18132.55451
203	18089.80787
204	18060.43125
205	18026.73551
206	17981.02428
207	17959.22023
208	17932.20567
209	17902.0793
210	17858.24036
211	17829.50172
212	17793.16338
213	17755.39412
214	17739.73672
215	17724.20918
216	17692.6828
217	17681.44994
218	17645.35033
219	17616.12312
220	17603.84909
221	17570.45428
222	17563.85394
223	17530.13819
224	17500.68774
225	17487.78173
226	17456.01232
227	17424.03284
228	17409.0965
229	17400.99286
230	17359.41021
231	17353.49085
232	17330.25116
233	17290.51787
234	17248.72732
235	17218.71524
236	17214.9507
237	17180.38782
238	17148.09172
239	17120.36053
240	17083.74712
241	17050.56047
242	17015.14988
243	16988.36765
244	16958.71679
245	16919.46065
246	16912.26986
247	16901.38587
248	16861.04522
249	16822.21817
250	16795.17348
251	16763.63215
252	16729.7159
253	16723.76958
254	16692.78409
255	16686.81042
256	16658.89295
257	16640.19333
258	16634.51246
259	16602.6057
260	16572.72934
261	16557.0521
262	16507.80514
263	16478.98351
264	16460.93916
265	16435.91842
266	16431.73454
267	16392.18558
268	16362.1948
269	16344.50796
270	16325.54651
271	16290.76374
272	16256.34228
273	16253.09641
274	16215.80752
275	16181.98789
276	16176.14465
277	16172.92818
278	16168.39732
279	16127.84553
280	16119.34778
281	16097.96155
282	16074.25097
283	16061.3901
284	16043.32306
285	16019.64014
286	15999.0375
287	15996.06632
288	15991.96366
289	15985.53831
290	15968.1596
291	15964.19168
292	15946.11491
293	15907.7134
294	15892.10218
295	15868.60447
296	15853.07211
297	15850.63965
298	15829.94798
299	15827.58767
300	15825.29963
301	15807.60374
302	15780.99329
303	15750.64324
304	15718.42119
305	15696.14223
306	15693.88795
307	15668.55206
308	15648.21566
309	15645.35363
310	15613.05798
311	15585.35277
312	15580.24458
313	15568.44171
314	15533.62962
315	15512.57384
316	15487.20853
317	15454.61952
318	15449.41952
319	15428.36457
320	15410.45998
321	15384.73023
322	15357.37616
323	15336.32948
324	15304.127
325	15282.98422
326	15263.89155
327	15249.53477
328	15239.02601
329	15222.81504
330	15209.15277
331	15188.03214
332	15161.49692
333	15146.9797
334	15129.15834
335	15108.9356
336	15092.45499
337	15086.68412
338	15063.13737
339	15040.46203
340	15033.46004
341	15004.42149
342	14979.33312
343	14947.08729
344	14932.68199
345	14921.76393
346	14899.13583
347	14866.27192
348	14837.14141
349	14815.59182
350	14801.0442
351	14785.96196
352	14747.41888
353	14722.00132
354	14708.34897
355	14703.82713
356	14687.76155
357	14666.62121
358	14637.4327
359	14618.98706
360	14612.15806
361	14597.18873
362	14579.57231
363	14560.73805
364	14537.81018
365	14519.24352
366	14502.43261
367	14485.00543
368	14458.55254
369	14436.7949
370	14427.2523
371	14415.6599
372	14397.92337
373	14392.30913
374	14371.46122
375	14350.63514
376	14329.60815
377	14321.18089
378	14306.93806
379	14287.34618
380	14274.75178
381	14259.20401
382	14246.55621
383	14235.87807
384	14226.00927
385	14200.1099
386	14180.44272
387	14172.22403
388	14142.82635
389	14117.38566
390	14095.85912
391	14091.11389
392	14075.88991
393	14071.35601
394	14045.73276
395	14026.21627
396	14000.71369
397	13978.80297
398	13962.91573
399	13947.14065
400	13942.64786
401	13929.0576
402	13899.92994
403	13885.30133
404	13875.99266
405	13866.04152
406	13841.24614
407	13820.05856
408	13807.93317
409	13794.70383
410	13783.42399
411	13775.47232
412	13754.15325
413	13743.85532
414	13727.65474
415	13723.41348
416	13714.49917
417	13699.69558
418	13686.57113
419	13676.63533
420	13665.43891
421	13653.66674
422	13644.65401
423	13633.65928
424	13629.12468
425	13615.15443
426	13604.26217
427	13575.76265
428	13565.71872
429	13550.41514
430	13539.18293
431	13530.024
432	13513.03716
433	13501.96781
434	13491.83182
435	13488.67494
436	13466.43663
437	13463.99356
438	13461.36856
439	13442.69008
440	13436.39557
441	13422.12397
442	13412.72915
443	13391.96469
444	13379.97766
445	13362.94529
446	13347.99763
447	13333.63136
448	13322.30631
449	13309.29478
450	13290.10142
451	13274.49169
452	13264.53885
453	13245.68758
454	13227.88862
455	13214.84844
456	13203.49615
457	13178.9414
458	13173.39337
459	13153.28617
460	13149.82342
461	13138.96834
462	13129.75825
463	13111.94082
464	13107.55078
465	13093.87704
466	13091.71096
467	13078.91376
468	13062.10785
469	13056.1281
470	13042.84822
471	13033.32021
472	13020.67493
473	13006.46793
474	12979.82272
475	12971.47793
476	12959.8339
477	12947.02305
478	12936.1375
479	12918.926
480	12908.83394
481	12899.91069
482	12886.68021
483	12876.15672
484	12870.0152
485	12860.6913
486	12845.22948
487	12835.23102
488	12820.04188
489	12807.44116
490	12796.12527
491	12786.24837
492	12773.35653
493	12752.29619
494	12746.00141
495	12733.67952
496	12725.50458
497	12713.69023
498	12711.41621
499	12698.61313
500	12688.09972
501	12676.80231
502	12664.9464
503	12655.95702
504	12641.63204
505	12633.30376
506	12617.37578
507	12608.59427
508	12601.71162
509	12581.95159
510	12579.86527
511	12569.69373
512	12555.38702
513	12539.12765
514	12537.78719
515	12524.83796
516	12519.75881
517	12517.02314
518	12507.69932
519	12487.45852
520	12474.26574
521	12470.37217
522	12460.57634
523	12450.50488
524	12439.74837
525	12432.03707
526	12419.45888
527	12400.84944
528	12388.11315
529	12374.78981
530	12366.76829
531	12359.48494
532	12354.08203
533	12339.39637
534	12320.48877
535	12309.83749
536	12299.81213
537	12296.31637
538	12285.44731
539	12282.9234
540	12276.40758
541	12270.23567
542	12266.80189
543	12244.39867
544	12235.31701
545	12218.07697
546	12210.80129
547	12201.74707
548	12188.24204
549	12177.51877
550	12169.29919
551	12158.02405
552	12144.72361
553	12138.38278
554	12128.65405
555	12121.42238
556	12110.56432
557	12099.78656
558	12089.23189
559	12077.83198
560	12066.75241
561	12051.1248
562	12045.04726
563	12041.9418
564	12033.68588
565	12024.55737
566	12002.18919
567	11987.06725
568	11978.5158
569	11963.43987
570	11955.37682
571	11950.28933
572	11940.48656
573	11929.22694
574	11911.16642
575	11904.5324
576	11894.94258
577	11890.43315
578	11884.54403
579	11869.88705
580	11856.80995
581	11846.4154
582	11836.62277
583	11831.54971
584	11815.84604
585	11814.00384
586	11807.66837
587	11801.49905
588	11792.97811
589	11783.9914
590	11778.15434
591	11773.1367
592	11770.78259
593	11763.60936
594	11753.00802
595	11733.75157
596	11720.87581
597	11709.77174
598	11706.65652
599	11701.85994
600	11694.83012
601	11690.02676
602	11684.47424
603	11672.62676
604	11660.55952
605	11645.86121
606	11638.77948
607	11628.16724
608	11617.86583
609	11610.06512
610	11590.51365
611	11586.37094
612	11577.90933
613	11571.25389
614	11555.34368
615	11544.00036
616	11529.33338
617	11500.99225
618	11487.72995
619	11474.51462
620	11466.96214
621	11451.77147
622	11446.26396
623	11437.08277
624	11420.29368
625	11410.9396
626	11406.94765
627	11400.766
628	11385.96439
629	11377.97114
630	11372.62418
631	11362.00186
632	11348.44282
633	11339.30451
634	11331.57019
635	11322.3543
636	11314.29146
637	11308.37806
638	11289.14553
639	11279.82738
640	11271.48322
641	11265.43574
642	11264.0813
643	11253.61933
644	11247.12604
645	11237.94297
646	11227.38602
647	11210.45446
648	11209.40213
649	11204.75606
650	11196.3741
651	11188.99597
652	11182.17487
653	11171.97273
654	11165.24093
655	11145.94796
656	11142.57221
657	11135.11978
658	11127.11778
659	11116.91887
660	11114.8449
661	11100.7774
662	11095.72055
663	11090.52952
664	11077.72727
665	11071.15981
666	11064.4157
667	11055.07255
668	11046.85275
669	11034.81031
670	11024.94027
671	11017.05393
672	11007.85847
673	11000.15255
674	10994.31006
675	10986.87233
676	10985.68586
677	10979.01926
678	10977.99879
679	10968.55634
680	10962.73434
681	10952.78658
682	10941.50927
683	10932.41578
684	10922.57713
685	10917.33222
686	10910.35539
687	10902.6625
688	10892.81556
689	10884.23479
690	10883.25225
691	10873.89328
692	10863.66025
693	10858.12035
694	10853.39841
695	10846.54445
696	10837.19819
697	10836.24992
698	10830.70452
699	10823.36415
700	10810.33673
701	10799.17007
702	10788.5151
703	10785.81464
704	10777.66238
705	10772.54088
706	10760.30523
707	10752.57604
708	10748.7586
709	10740.94511
710	10731.14861
711	10723.52735
712	10703.79829
713	10688.36501
714	10681.12257
715	10676.78829
716	10673.65951
717	10665.90523
718	10654.8585
719	10645.01749
720	10627.18756
721	10623.68576
722	10617.71506
723	10602.67298
724	10591.7968
725	10587.1439
726	10581.43349
727	10570.35033
728	10555.70758
729	10542.2152
730	10525.036
731	10518.82375
732	10512.11182
733	10504.39363
734	10494.85012
735	10484.20175
736	10481.13327
737	10471.91182
738	10466.26521
739	10462.72203
740	10447.84173
741	10443.22366
742	10429.78804
743	10421.02912
744	10412.36842
745	10406.59289
746	10399.89726
747	10396.46493
748	10391.56507
749	10378.05445
750	10365.37524
751	10357.16351
752	10354.19552
753	10349.15171
754	10335.32623
755	10326.0064
756	10316.98366
757	10312.10463
758	10301.50668
759	10286.54112
760	10276.58705
761	10272.72885
762	10266.62608
763	10252.8384
764	10246.10141
765	10233.05139
766	10220.80336
767	10216.62345
768	10213.36809
769	10198.78582
770	10196.72393
771	10187.49674
772	10181.46386
773	10178.0389
774	10171.30638
775	10164.20263
776	10154.0653
777	10153.01457
778	10145.88307
779	10135.80182
780	10128.82314
781	10122.0741
782	10114.20301
783	10107.76174
784	10101.79631
785	10087.0954
786	10072.12758
787	10069.99137
788	10062.29705
789	10049.93859
790	10036.03318
791	10028.24507
792	10021.49568
793	10015.44134
794	10008.54907
795	10002.1518
796	9994.3064
797	9986.156538
798	9968.410367
799	9962.791753
800	9959.323776
801	9951.624954
802	9948.766618
803	9938.423233
804	9933.787045
805	9932.950687
806	9924.472607
807	9914.738827
808	9906.275375
809	9902.758843
810	9899.553897
811	9897.410202
812	9881.359396
813	9872.082424
814	9869.035233
815	9859.708393
816	9853.724657
817	9845.562253
818	9838.426693
819	9828.299033
820	9824.625328
821	9818.110202
822	9810.882265
823	9803.696505
824	9796.284569
825	9792.850415
826	9787.316842
827	9780.929892
828	9776.856004
829	9767.910573
830	9757.399063
831	9746.767929
832	9738.345965
833	9732.575475
834	9729.867949
835	9726.145687
836	9711.405856
837	9706.297718
838	9705.503593
839	9698.316662
840	9691.091451
841	9686.691783
842	9676.830249
843	9671.094247
844	9661.914589
845	9651.010281
846	9642.509355
847	9629.353053
848	9621.100618
849	9615.350025
850	9607.259126
851	9606.3767
852	9600.952587
853	9589.674027
854	9586.781608
855	9576.781033
856	9570.266905
857	9560.044249
858	9555.15952
859	9545.805307
860	9535.54771
861	9529.676756
862	9522.112663
863	9512.277372
864	9507.423426
865	9504.18862
866	9496.753198
867	9489.787071
868	9484.076763
869	9479.014781
870	9474.231173
871	9467.993353
872	9449.461141
873	9445.612091
874	9439.971787
875	9430.712119
876	9422.313548
877	9418.250865
878	9411.641561
879	9409.241385
880	9400.86402
881	9392.838357
882	9385.756638
883	9379.493159
884	9371.93918
885	9360.52243
886	9355.938632
887	9347.516016
888	9328.381285
889	9324.848582
890	9322.612253
891	9319.08888
892	9313.857034
893	9301.873523
894	9295.688717
895	9289.26253
896	9282.274854
897	9281.332996
898	9276.393781
899	9261.176814
900	9257.788015
901	9249.40484
902	9241.105741
903	9238.097178
904	9230.818
905	9224.107851
906	9221.519596
907	9214.212951
908	9206.622895
909	9192.091524
910	9188.885861
911	9181.013773
912	9173.339104
913	9169.277956
914	9164.639971
915	9162.61563
916	9161.894383
917	9153.60859
918	9143.378531
919	9140.637516
920	9125.821596
921	9123.598883
922	9117.078034
