iter	Passed	Remaining
0	2	2511
1	4	2239
2	6	2123
3	8	2102
4	10	2088
5	12	2059
6	14	2021
7	16	2026
8	18	2025
9	20	2009
10	22	2036
11	24	2039
12	26	2026
13	28	2015
14	30	2004
15	32	1990
16	34	1994
17	36	1989
18	38	1982
19	40	1984
20	42	1980
21	44	1978
22	46	1976
23	48	1972
24	50	1969
25	52	1964
26	54	1956
27	56	1954
28	58	1960
29	60	1955
30	62	1959
31	64	1955
32	66	1951
33	68	1948
34	70	1945
35	72	1942
36	74	1939
37	76	1936
38	78	1930
39	80	1928
40	82	1928
41	84	1924
42	86	1923
43	88	1918
44	90	1916
45	92	1913
46	94	1915
47	96	1911
48	98	1909
49	100	1905
50	102	1902
51	104	1900
52	106	1901
53	108	1898
54	110	1895
55	112	1892
56	114	1899
57	117	1900
58	118	1897
59	120	1895
60	123	1894
61	125	1891
62	127	1890
63	129	1888
64	131	1887
65	133	1886
66	135	1884
67	137	1882
68	139	1879
69	141	1875
70	143	1873
71	145	1871
72	147	1870
73	149	1867
74	151	1863
75	153	1864
76	155	1861
77	157	1858
78	159	1855
79	161	1853
80	163	1853
81	165	1851
82	167	1849
83	169	1847
84	171	1844
85	173	1846
86	175	1844
87	177	1842
88	179	1839
89	181	1838
90	183	1835
91	185	1834
92	187	1832
93	189	1828
94	191	1827
95	193	1824
96	195	1821
97	197	1819
98	199	1815
99	201	1813
100	203	1814
101	205	1812
102	207	1811
103	210	1810
104	212	1808
105	214	1808
106	216	1805
107	218	1803
108	220	1804
109	222	1802
110	224	1801
111	227	1801
112	229	1800
113	231	1798
114	233	1797
115	235	1794
116	237	1792
117	239	1791
118	241	1788
119	243	1786
120	245	1783
121	247	1781
122	249	1780
123	251	1778
124	253	1777
125	255	1775
126	257	1772
127	259	1770
128	261	1767
129	263	1764
130	265	1762
131	267	1761
132	270	1760
133	272	1758
134	274	1759
135	276	1757
136	278	1755
137	280	1754
138	282	1752
139	285	1755
140	288	1756
141	290	1756
142	292	1755
143	295	1755
144	297	1755
145	300	1755
146	302	1754
147	304	1752
148	306	1750
149	308	1748
150	310	1747
151	313	1746
152	315	1744
153	317	1742
154	319	1741
155	321	1739
156	323	1736
157	325	1734
158	327	1734
159	330	1733
160	332	1733
161	334	1732
162	337	1731
163	339	1730
164	341	1730
165	344	1729
166	346	1728
167	348	1726
168	350	1724
169	352	1721
170	354	1719
171	356	1717
172	358	1715
173	360	1713
174	363	1713
175	365	1712
176	368	1711
177	370	1711
178	372	1710
179	375	1708
180	377	1707
181	379	1705
182	381	1703
183	384	1703
184	386	1704
185	389	1704
186	392	1705
187	394	1705
188	397	1704
189	400	1706
190	402	1704
191	404	1703
192	406	1701
193	408	1698
194	410	1696
195	412	1693
196	415	1692
197	417	1689
198	419	1686
199	421	1684
200	423	1681
201	424	1678
202	426	1675
203	428	1673
204	430	1671
205	432	1668
206	434	1666
207	436	1663
208	438	1660
209	440	1657
210	442	1655
211	444	1652
212	446	1650
213	448	1647
214	450	1645
215	452	1642
216	454	1639
217	456	1637
218	458	1634
219	460	1632
220	462	1629
221	464	1627
222	466	1624
223	468	1622
224	470	1619
225	472	1617
226	474	1614
227	476	1612
228	478	1609
229	480	1607
230	482	1606
231	484	1604
232	486	1602
233	488	1600
234	490	1598
235	493	1596
236	494	1593
237	496	1591
238	498	1588
239	501	1587
240	503	1585
241	505	1583
242	507	1582
243	510	1581
244	512	1579
245	514	1577
246	516	1574
247	518	1572
248	520	1570
249	522	1567
250	524	1565
251	526	1562
252	528	1561
253	530	1558
254	532	1555
255	534	1553
256	536	1550
257	538	1548
258	540	1545
259	542	1543
260	544	1540
261	546	1538
262	548	1535
263	549	1533
264	552	1531
265	553	1528
266	555	1526
267	557	1523
268	559	1521
269	561	1518
270	563	1516
271	565	1513
272	567	1511
273	569	1509
274	571	1506
275	573	1504
276	575	1502
277	577	1499
278	579	1497
279	581	1494
280	583	1492
281	585	1490
282	587	1487
283	588	1484
284	591	1483
285	593	1480
286	595	1478
287	597	1476
288	599	1473
289	601	1471
290	602	1469
291	604	1466
292	606	1464
293	608	1461
294	610	1459
295	612	1456
296	614	1454
297	616	1452
298	618	1450
299	620	1448
300	622	1445
301	624	1443
302	626	1441
303	628	1438
304	630	1436
305	632	1434
306	634	1431
307	636	1429
308	638	1427
309	640	1424
310	642	1422
311	644	1420
312	646	1418
313	648	1416
314	650	1414
315	652	1412
316	654	1410
317	656	1408
318	658	1405
319	660	1403
320	662	1401
321	664	1399
322	666	1397
323	668	1395
324	670	1392
325	672	1390
326	674	1388
327	676	1386
328	678	1384
329	680	1382
330	682	1380
331	685	1378
332	686	1375
333	688	1373
334	690	1371
335	692	1369
336	695	1368
337	697	1366
338	699	1364
339	701	1361
340	703	1359
341	705	1357
342	707	1355
343	709	1353
344	711	1350
345	713	1348
346	715	1346
347	717	1344
348	719	1342
349	721	1340
350	723	1338
351	725	1336
352	727	1334
353	729	1331
354	731	1329
355	733	1327
356	735	1325
357	737	1323
358	739	1321
359	741	1319
360	743	1316
361	746	1315
362	748	1312
363	750	1310
364	752	1308
365	754	1306
366	756	1304
367	758	1302
368	760	1300
369	762	1298
370	764	1296
371	766	1294
372	768	1292
373	770	1289
374	772	1287
375	774	1285
376	776	1283
377	778	1281
378	780	1278
379	782	1276
380	784	1274
381	786	1271
382	787	1269
383	790	1267
384	792	1265
385	794	1263
386	796	1261
387	798	1258
388	800	1256
389	801	1254
390	803	1252
391	805	1249
392	808	1248
393	810	1245
394	811	1243
395	813	1241
396	815	1239
397	817	1236
398	819	1234
399	821	1232
400	823	1230
401	825	1228
402	827	1225
403	829	1223
404	831	1221
405	833	1219
406	835	1217
407	837	1215
408	839	1212
409	841	1210
410	843	1208
411	845	1206
412	847	1204
413	849	1202
414	851	1200
415	853	1197
416	855	1195
417	857	1193
418	859	1191
419	861	1189
420	863	1187
421	864	1184
422	866	1182
423	868	1180
424	870	1178
425	872	1175
426	874	1173
427	876	1171
428	878	1169
429	880	1167
430	882	1164
431	884	1162
432	886	1160
433	888	1158
434	890	1156
435	892	1154
436	894	1152
437	896	1150
438	898	1148
439	900	1146
440	902	1143
441	904	1141
442	906	1139
443	908	1137
444	910	1135
445	912	1133
446	914	1131
447	916	1129
448	918	1127
449	920	1125
450	922	1122
451	924	1120
452	926	1118
453	928	1116
454	930	1114
455	932	1112
456	934	1110
457	937	1108
458	939	1106
459	941	1104
460	943	1102
461	945	1100
462	947	1098
463	949	1096
464	950	1094
465	953	1092
466	954	1089
467	956	1087
468	958	1085
469	960	1083
470	962	1081
471	964	1078
472	966	1076
473	968	1074
474	970	1072
475	972	1070
476	974	1067
477	975	1065
478	977	1063
479	979	1061
480	981	1059
481	983	1057
482	985	1054
483	987	1052
484	989	1051
485	991	1049
486	993	1046
487	995	1044
488	997	1042
489	999	1040
490	1001	1038
491	1003	1036
492	1005	1034
493	1007	1032
494	1009	1030
495	1011	1027
496	1013	1025
497	1015	1023
498	1017	1021
499	1019	1019
500	1021	1017
501	1023	1015
502	1025	1013
503	1027	1010
504	1029	1008
505	1031	1007
506	1033	1004
507	1035	1002
508	1037	1000
509	1039	998
510	1041	996
511	1043	994
512	1045	992
513	1047	990
514	1049	988
515	1051	986
516	1053	984
517	1055	981
518	1057	979
519	1059	977
520	1060	975
521	1062	973
522	1064	971
523	1066	969
524	1068	966
525	1070	964
526	1072	963
527	1075	961
528	1077	959
529	1079	956
530	1081	955
531	1083	952
532	1085	950
533	1087	948
534	1089	946
535	1091	944
536	1093	942
537	1095	940
538	1097	938
539	1099	936
540	1101	934
541	1103	932
542	1105	930
543	1107	928
544	1109	926
545	1111	923
546	1113	921
547	1115	919
548	1117	917
549	1119	915
550	1120	913
551	1123	912
552	1125	910
553	1127	907
554	1129	905
555	1131	903
556	1133	901
557	1135	899
558	1137	897
559	1139	895
560	1141	893
561	1143	891
562	1145	889
563	1147	887
564	1149	885
565	1151	883
566	1153	880
567	1155	878
568	1157	876
569	1159	874
570	1161	872
571	1163	870
572	1165	868
573	1167	866
574	1169	864
575	1171	862
576	1173	860
577	1175	858
578	1177	856
579	1179	854
580	1181	852
581	1183	850
582	1185	847
583	1187	846
584	1189	843
585	1191	841
586	1193	839
587	1195	837
588	1197	835
589	1199	833
590	1201	831
591	1203	829
592	1205	827
593	1207	825
594	1209	822
595	1210	820
596	1212	818
597	1214	816
598	1216	814
599	1218	812
600	1220	810
601	1222	808
602	1224	806
603	1226	804
604	1228	802
605	1230	800
606	1232	798
607	1234	795
608	1236	794
609	1238	791
610	1240	789
611	1242	787
612	1244	785
613	1246	783
614	1248	781
615	1250	779
616	1252	777
617	1254	775
618	1256	773
619	1258	771
620	1260	769
621	1262	767
622	1264	765
623	1266	763
624	1268	760
625	1270	758
626	1272	756
627	1274	754
628	1275	752
629	1277	750
630	1280	748
631	1282	746
632	1284	744
633	1286	742
634	1288	740
635	1290	738
636	1292	736
637	1293	734
638	1295	732
639	1297	730
640	1299	728
641	1301	725
642	1303	723
643	1305	721
644	1307	719
645	1309	717
646	1311	715
647	1313	713
648	1315	711
649	1317	709
650	1319	707
651	1321	705
652	1323	703
653	1325	701
654	1328	699
655	1330	697
656	1332	695
657	1333	693
658	1335	691
659	1337	689
660	1340	687
661	1341	685
662	1343	683
663	1345	681
664	1347	678
665	1349	676
666	1351	674
667	1353	672
668	1355	670
669	1357	668
670	1359	666
671	1361	664
672	1363	662
673	1365	660
674	1367	658
675	1369	656
676	1371	654
677	1373	652
678	1374	650
679	1376	647
680	1378	645
681	1380	643
682	1382	641
683	1384	639
684	1386	637
685	1388	635
686	1390	633
687	1392	631
688	1394	629
689	1396	627
690	1398	625
691	1400	623
692	1402	621
693	1404	619
694	1406	617
695	1408	615
696	1410	613
697	1412	610
698	1414	608
699	1416	606
700	1418	604
701	1420	602
702	1422	600
703	1424	598
704	1426	596
705	1428	594
706	1430	592
707	1432	590
708	1434	588
709	1436	586
710	1438	584
711	1440	582
712	1442	580
713	1444	578
714	1446	576
715	1448	574
716	1450	572
717	1452	570
718	1454	568
719	1456	566
720	1458	564
721	1460	562
722	1462	560
723	1464	558
724	1465	556
725	1467	553
726	1469	551
727	1471	549
728	1473	547
729	1475	545
730	1477	543
731	1479	541
732	1481	539
733	1483	537
734	1485	535
735	1487	533
736	1489	531
737	1491	529
738	1493	527
739	1494	525
740	1496	523
741	1498	521
742	1500	519
743	1502	517
744	1504	515
745	1506	513
746	1508	510
747	1510	508
748	1512	506
749	1514	504
750	1516	502
751	1518	500
752	1520	498
753	1522	496
754	1524	494
755	1526	492
756	1528	490
757	1530	488
758	1532	486
759	1534	484
760	1536	482
761	1538	480
762	1540	478
763	1542	476
764	1544	474
765	1546	472
766	1548	470
767	1550	468
768	1552	466
769	1554	464
770	1556	462
771	1558	460
772	1560	458
773	1562	456
774	1564	454
775	1566	452
776	1568	450
777	1570	448
778	1572	446
779	1575	444
780	1577	442
781	1579	440
782	1581	438
783	1583	436
784	1585	434
785	1587	432
786	1589	430
787	1591	428
788	1593	426
789	1594	423
790	1597	421
791	1599	419
792	1600	417
793	1603	415
794	1605	413
795	1607	411
796	1608	409
797	1610	407
798	1613	405
799	1614	403
800	1616	401
801	1619	399
802	1621	397
803	1623	395
804	1625	393
805	1626	391
806	1628	389
807	1630	387
808	1632	385
809	1634	383
810	1636	381
811	1638	379
812	1640	377
813	1642	375
814	1644	373
815	1646	371
816	1648	369
817	1650	367
818	1652	365
819	1654	363
820	1656	361
821	1658	359
822	1660	357
823	1662	355
824	1664	352
825	1666	351
826	1668	348
827	1670	346
828	1672	344
829	1674	342
830	1676	340
831	1678	338
832	1680	336
833	1681	334
834	1684	332
835	1686	330
836	1688	328
837	1690	326
838	1692	324
839	1694	322
840	1696	320
841	1698	318
842	1700	316
843	1702	314
844	1704	312
845	1706	310
846	1708	308
847	1710	306
848	1712	304
849	1714	302
850	1716	300
851	1718	298
852	1720	296
853	1722	294
854	1724	292
855	1726	290
856	1728	288
857	1730	286
858	1732	284
859	1733	282
860	1735	280
861	1737	278
862	1739	276
863	1741	274
864	1743	272
865	1745	270
866	1747	268
867	1749	266
868	1751	264
869	1753	262
870	1755	259
871	1757	257
872	1759	255
873	1761	253
874	1763	251
875	1765	249
876	1767	247
877	1769	245
878	1771	243
879	1773	241
880	1774	239
881	1776	237
882	1778	235
883	1780	233
884	1783	231
885	1785	229
886	1787	227
887	1789	225
888	1791	223
889	1793	221
890	1795	219
891	1797	217
892	1799	215
893	1801	213
894	1803	211
895	1805	209
896	1807	207
897	1809	205
898	1812	203
899	1814	201
900	1815	199
901	1818	197
902	1820	195
903	1822	193
904	1824	191
905	1825	189
906	1827	187
907	1829	185
908	1831	183
909	1833	181
910	1835	179
911	1837	177
912	1839	175
913	1841	173
914	1843	171
915	1845	169
916	1847	167
917	1849	165
918	1851	163
919	1853	161
920	1855	159
921	1856	157
922	1858	155
923	1860	153
924	1862	151
925	1864	149
926	1866	146
927	1868	144
928	1870	142
929	1872	140
930	1874	138
931	1876	136
932	1878	134
933	1880	132
934	1882	130
935	1883	128
936	1885	126
937	1887	124
938	1889	122
939	1891	120
940	1893	118
941	1895	116
942	1897	114
